visitor_id,visit_date,variant,clicked,converted,revenue,device,traffic_source
VIS-034454,2026-01-01,Old Landing Page,1,0,0.0,Mobile,Paid Search
VIS-031326,2026-01-01,New Landing Page,0,0,0.0,Tablet,Paid Search
VIS-035976,2026-01-01,Old Landing Page,0,0,0.0,Mobile,Organic
VIS-004321,2026-01-01,Old Landing Page,0,0,0.0,Mobile,Social
VIS-011540,2026-01-01,New Landing Page,0,0,0.0,Desktop,Paid Search
VIS-038511,2026-01-01,New Landing Page,0,0,0.0,Desktop,Email
VIS-035963,2026-01-01,New Landing Page,0,0,0.0,Desktop,Paid Search
VIS-044661,2026-01-01,New Landing Page,0,0,0.0,Mobile,Organic
VIS-009439,2026-01-01,Old Landing Page,0,0,0.0,Tablet,Social
VIS-007897,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Email
VIS-011534,2026-01-01,Old Landing Page,0,0,0.0,Mobile,Paid Search
VIS-031379,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Social
VIS-009434,2026-01-01,New Landing Page,0,0,0.0,Tablet,Organic
VIS-048305,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Paid Search
VIS-001408,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Organic
VIS-044631,2026-01-01,New Landing Page,0,0,0.0,Desktop,Paid Search
VIS-015395,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Social
VIS-011565,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Organic
VIS-048320,2026-01-01,New Landing Page,0,0,0.0,Desktop,Email
VIS-015375,2026-01-01,New Landing Page,0,0,0.0,Mobile,Paid Search
VIS-046640,2026-01-01,New Landing Page,0,0,0.0,Tablet,Organic
VIS-007899,2026-01-01,Old Landing Page,0,0,0.0,Mobile,Paid Search
VIS-020274,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Organic
VIS-015480,2026-01-01,New Landing Page,1,0,0.0,Desktop,Organic
VIS-031317,2026-01-01,New Landing Page,0,0,0.0,Desktop,Paid Search
VIS-031113,2026-01-01,New Landing Page,0,0,0.0,Mobile,Organic
VIS-031131,2026-01-01,New Landing Page,0,0,0.0,Tablet,Organic
VIS-015604,2026-01-01,New Landing Page,0,0,0.0,Desktop,Organic
VIS-009493,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Social
VIS-020219,2026-01-01,New Landing Page,0,0,0.0,Mobile,Social
VIS-020222,2026-01-01,New Landing Page,0,0,0.0,Desktop,Paid Search
VIS-048213,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Email
VIS-025824,2026-01-01,New Landing Page,0,0,0.0,Mobile,Organic
VIS-004266,2026-01-01,New Landing Page,0,0,0.0,Mobile,Social
VIS-015554,2026-01-01,New Landing Page,0,0,0.0,Desktop,Email
VIS-025815,2026-01-01,Old Landing Page,0,0,0.0,Mobile,Organic
VIS-015546,2026-01-01,New Landing Page,0,0,0.0,Tablet,Paid Search
VIS-001464,2026-01-01,New Landing Page,0,0,0.0,Mobile,Email
VIS-025809,2026-01-01,New Landing Page,0,0,0.0,Desktop,Paid Search
VIS-015528,2026-01-01,Old Landing Page,0,0,0.0,Mobile,Paid Search
VIS-044703,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Email
VIS-020256,2026-01-01,Old Landing Page,0,0,0.0,Mobile,Organic
VIS-025795,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Email
VIS-015497,2026-01-01,New Landing Page,0,0,0.0,Desktop,Organic
VIS-011521,2026-01-01,New Landing Page,0,0,0.0,Desktop,Social
VIS-004306,2026-01-01,Old Landing Page,1,0,0.0,Tablet,Paid Search
VIS-025686,2026-01-01,New Landing Page,0,0,0.0,Desktop,Organic
VIS-020362,2026-01-01,Old Landing Page,0,0,0.0,Mobile,Paid Search
VIS-004365,2026-01-01,New Landing Page,0,0,0.0,Desktop,Paid Search
VIS-035930,2026-01-01,New Landing Page,1,0,0.0,Mobile,Social
VIS-015240,2026-01-01,Old Landing Page,0,0,0.0,Mobile,Email
VIS-015232,2026-01-01,New Landing Page,0,0,0.0,Mobile,Organic
VIS-015231,2026-01-01,New Landing Page,1,0,0.0,Desktop,Organic
VIS-025489,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Paid Search
VIS-011617,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Social
VIS-048407,2026-01-01,Old Landing Page,0,0,0.0,Desktop,Organic
VIS-031610,2026-01-01,Old Landing Page,0,0,0.0,Mobile,Organic
VIS-001321,2026-01-01,Old Landing Page,1,0,0.0,Desktop,Paid Search
